"","disasterNumber","state.x","county","city","zipCode","validRegistrations","totalInspected","totalInspectedWithNoDamage","totalWithModerateDamage","totalWithMajorDamage","totalWithSubstantialDamage","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id","femaDeclarationString","state.y","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate"
"37",1460,"FL","Miami-Dade (County)","NARANJA","33030",1,1,1,0,0,0,1,6934.36,0,2232,4702.36,1,0,0,0,"624804b3cbab24a500aeb509","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"38",1460,"FL","Miami-Dade (County)","HOMESTEAD","33032",347,344,347,0,0,0,197,377667.59,0,71948,305719.59,197,0,0,0,"624804b3cbab24a500aeb50a","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"39",1460,"FL","Miami-Dade (County)","HOMESTEAD","33033",203,198,203,0,0,0,92,153254.85,0,16998,136256.85,92,0,0,0,"624804b3cbab24a500aeb50d","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"40",1460,"FL","Miami-Dade (County)","HOMESTEAD","33034",131,128,131,0,0,0,58,121005.15,0,20980,100025.15,58,0,0,0,"624804b3cbab24a500aeb515","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"41",1460,"FL","Miami-Dade (County)","CAROL CITY","33055",10,10,10,0,0,0,4,10476.53,0,3858,6618.53,4,0,0,0,"624804b3cbab24a500aeb519","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"42",1460,"FL","Miami-Dade (County)","MIAMI","33055",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb51a","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"43",1460,"FL","Miami-Dade (County)","OPA LOCKA","33055",227,225,227,0,0,0,96,249813.5,0,82730,167083.5,95,1,0,0,"624804b3cbab24a500aeb51b","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"44",1460,"FL","Miami-Dade (County)","CAROL CITY","33056",14,12,14,0,0,0,5,7929.89,0,2232,5697.89,5,0,0,0,"624804b3cbab24a500aeb51c","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"45",1460,"FL","Miami-Dade (County)","MIAMI","33056",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb51d","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"46",1460,"FL","Miami-Dade (County)","SOUTH MIAMI HEIGHTS","33157",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb54c","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
